code,country,gdp_per_capita,median_age,life_expectancy,hospital_beds_per_thousand,diabetes_prevalence,population_density,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,excess_mortality_cumulative_per_million
NZL,New Zealand,49316.3984375,37.06800079345703,81.006103515625,2.509999990463257,6.699999809265137,19.48931312561035,83.83779,83.63098,99.53902
OMN,Oman,36721.08203125,28.972999572753903,77.91059875488281,0.9900000095367432,17.0,15.283453941345217,69.33347,64.45409,776.93835
OWID_KOS,Kosovo,15716.29296875,30.808000564575195,77.62329864501953,,10.399999618530272,,52.787216,48.027126,2258.7173
PAK,Pakistan,5500.32373046875,20.14800071716309,67.41670227050781,0.6299999952316284,31.399999618530277,316.1330871582031,67.93904,57.64279,
PAN,Panama,36394.91796875,29.27300071716309,79.3240966796875,1.950000047683716,11.100000381469728,59.325626373291016,85.1223,72.23046,1724.4185
PCN,Pitcairn,,,,,,,,,
PER,Peru,15661.75,29.09600067138672,76.83399963378906,1.559999942779541,6.400000095367432,26.152685165405277,91.301895,85.76331,5901.3433
PHL,Philippines,10375.9404296875,24.86599922180176,69.47229766845703,0.9700000286102296,7.5,382.212646484375,72.5532,68.83203,2478.1057
PLW,Palau,16425.97265625,37.48400115966797,68.92220306396484,,19.299999237060547,38.66086959838867,,,
PNG,Papua New Guinea,4288.5283203125,22.12700080871582,65.27359771728516,0.6200000047683716,14.100000381469728,22.530532836914062,3.744128,3.1479607,
POL,Poland,45153.04296875,40.86399841308594,77.92289733886719,6.039999961853027,8.100000381469727,125.40259552001952,59.877827,59.15184,3801.3904
PRI,Puerto Rico,44205.75,45.196998596191406,79.4269027709961,,10.899999618530272,365.38580322265625,,,3752.0916
PRK,North Korea,,35.80500030517578,73.64109802246094,12.800000190734863,9.899999618530272,218.65994262695312,,,
PRT,Portugal,42197.203125,45.805999755859375,81.193603515625,3.4800000190734863,10.5,113.71656036376952,94.28189,85.53044,3252.1348
PRY,Paraguay,16296.283203125,26.045000076293945,72.31849670410156,1.0399999618530271,9.399999618530272,17.016008377075195,59.107147,52.521175,4341.4536
PSE,Palestine,3845.5029296875,19.604999542236328,76.66239929199219,1.2999999523162842,15.5,880.5433959960938,37.938984,33.49446,922.9372
PYF,French Polynesia,,34.15999984741211,83.8593978881836,,22.799999237060547,80.78018188476562,68.08708,66.62304,1414.7798
QAT,Qatar,110889.7890625,32.45800018310547,81.85659790039062,1.25,24.600000381469727,251.73768615722656,98.60714,98.60714,684.50916
REU,Reunion,,37.06499862670898,81.5,,,347.2283020019531,,,1010.0856
ROU,Romania,40504.0,42.39099884033203,75.26139831542969,7.230000019073486,7.5,83.3048324584961,28.562483,42.337685,4645.955
RUS,Russia,41666.83203125,39.07099914550781,72.51740264892578,6.809999942779541,5.900000095367432,8.889359474182129,61.19087,54.74822,9344.609
RWA,Rwanda,3264.64453125,19.21999931335449,67.52799987792969,0.75,2.0999999046325684,553.3451538085938,79.735504,76.182304,
SAU,Saudi Arabia,62792.7734375,28.731000900268555,77.30979919433594,2.4100000858306885,23.100000381469727,14.967437744140623,84.043724,79.047905,
SDN,Sudan,1861.39794921875,18.1200008392334,65.69499969482422,0.6600000262260437,19.0,26.436479568481445,30.794699,27.167852,
SEN,Senegal,4460.923828125,18.88800048828125,67.78839874267578,0.7099999785423279,3.799999952316284,91.6797332763672,15.209795,8.77376,
SGP,Singapore,132569.53125,34.87799835205078,82.92109680175781,2.809999942779541,11.399999618530272,7868.9248046875,93.57716,92.89906,1552.2904
SHN,Saint Helena,,50.2140007019043,76.73519897460938,,,13.766666412353516,81.225555,65.76643,
SLB,Solomon Islands,2353.248046875,20.030000686645508,70.40859985351562,,12.0,27.905502319335938,44.018948,32.56435,
SLE,Sierra Leone,3098.762939453125,19.040000915527344,61.27479934692383,,4.800000190734863,114.66900634765624,68.578636,59.949265,
SLV,El Salvador,11669.08203125,26.51000022888184,71.96949768066406,1.2100000381469729,12.699999809265137,303.10406494140625,74.19961,70.025406,753.09076
SMR,San Marino,70951.7890625,46.78200149536133,85.70819854736328,3.3499999046325684,8.600000381469727,568.5499877929688,77.2638,69.27857,4342.66
SOM,Somalia,1409.3349609375,15.371000289916992,53.93149948120117,0.8700000047683716,5.800000190734863,28.376789093017575,50.400066,43.06752,
SPM,Saint Pierre and Miquelon,,45.98899841308594,76.69869995117188,,,25.04347801208496,,,
SRB,Serbia,26900.853515625,43.67499923706055,75.47779846191406,5.78000020980835,10.5,80.76126861572266,49.38844,48.271156,8130.2847
SSD,South Sudan,,17.59000015258789,57.202598571777344,,4.599999904632568,17.440500259399414,39.153057,38.773117,
STP,Sao Tome and Principe,5491.29833984375,18.86899948120117,69.23680114746094,2.9100000858306885,12.100000381469728,235.74270629882807,61.974346,49.482796,
SUR,Suriname,19179.1015625,27.864999771118164,73.25379943847656,2.869999885559082,13.800000190734863,3.994692325592041,42.9769,38.172287,3481.618
SVK,Slovakia,40319.0546875,40.90399932861328,77.03559875488281,5.570000171661377,7.099999904632568,113.83516693115234,51.889565,51.00697,5263.4023
SVN,Slovenia,48648.90625,43.49700164794922,80.79329681396484,4.110000133514404,7.0,105.0451431274414,59.84226,57.782104,2868.9695
SWE,Sweden,62978.9375,39.72800064086914,83.0459976196289,1.899999976158142,5.800000190734863,25.74946975708008,74.14397,72.40806,1910.3687
SWZ,Eswatini,10380.396484375,21.76799964904785,63.02830123901367,2.0199999809265137,7.900000095367432,70.86750030517578,43.15702,35.058464,
SXM,Sint Maarten (Dutch part),47303.1953125,41.47999954223633,76.1803970336914,,,1240.0882568359375,70.64962,63.498802,
SYC,Seychelles,29241.775390625,33.38800048828125,71.24810028076172,2.630000114440918,9.300000190734863,272.8978271484375,70.51532,66.56815,-874.87933
SYR,Syria,4454.853515625,21.58799934387207,72.78980255126953,1.4299999475479126,19.0,122.32298278808594,14.671913,10.499275,
TCA,Turks and Caicos Islands,33390.52734375,37.86600112915039,77.9176025390625,,,48.28315734863281,71.540695,66.95154,
TCD,Chad,2412.865966796875,15.10200023651123,54.52750015258789,0.1500000059604644,7.300000190734863,14.656384468078612,27.892593,27.202782,
TGO,Togo,2960.775390625,18.113000869750977,62.289798736572266,0.3300000131130218,4.800000190734863,148.347412109375,27.954967,19.260626,
